fid,id_ecop,id_via,propriedad,vidrao,papelao,embalao,lixo_geral,oleao,pilhao,dep_roupa,lugar,ano_instal,ano_subs,ano_reforc
234,1225,2422,ERSUC,sim,sim,sim,,,,,Sabugal,2018,,
235,1238,1616,ERSUC,sim,sim,sim,,,,,Águeda,2018,,
236,1206,2262,ERSUC,sim,sim,sim,sim,,,,Barrô,2018,,
237,1240,634,ERSUC,sim,sim,sim,n,,,,Barrô,2018,,
238,1205,3632,ERSUC,sim,sim,sim,sim,,,,Aguada de Baixo,2018,,
239,51,3613,ERSUC,sim,sim,sim,sim,,,,Aguadela,,,
240,1232,4137,ERSUC,sim,sim,sim,sim,,,,Aguada de Cima,2018,,
241,1233,4320,ERSUC,sim,sim,sim,sim,,,,Vale do Lobo,2018,,
242,1231,4176,ERSUC,sim,sim,sim,,,,,Aguada de Cima,2018,,
243,29,3416,ERSUC,sim,,,,,,,Vale Grande,,,
244,1209,3447,ERSUC,sim,sim,sim,sim,,,,Segadães,2018,,
245,195,1713,ERSUC,sim,sim,sim,,,,,Crastovães,,,
246,194,1713,ERSUC,sim,sim,sim,,,,,Crastovães,,,2018
247,133,3721,ERSUC,sim,sim,sim,,,,,Casainho de Cima,,,
248,1208,3557,ERSUC,sim,sim,sim,,,,,Massadas,2018,,
249,1228,2875,ERSUC,sim,sim,sim,,,,,Fermentelos,2018,,
250,1230,2983,ERSUC,sim,sim,sim,,,,,Fermentelos,2018,,
251,1029,3537,ERSUC,sim,sim,sim,,,,,Redonda,,,2018
252,91,4498,ERSUC,sim,sim,sim,,,,,A-dos-Ferreiros,,,
253,1241,4492,Ultriplo,,,,,,,sim,Á-Dos-Ferreiros,,,
254,1220,3107,ERSUC,sim,sim,sim,,,,,Macinhata do Vouga,2018,,
255,1234,4100,ERSUC,sim,sim,sim,,,,,Aguadalte,2018,,
256,1226,3266,ERSUC,sim,sim,sim,,,,,Moitedo,2018,,
257,1221,2604,ERSUC,sim,sim,sim,,,,,Jafafe de Baixo,2018,,
258,1222,2515,ERSUC,sim,sim,sim,,,,,Moita,2018,,
259,1211,1772,ERSUC,sim,sim,sim,sim,,,,Pedaçães,2018,,
260,1000,1670,"ERSUC; Portary",sim,sim,sim,,sim,,,Mourisca do Vouga,2018,,
261,1001,1670,ERSUC,sim,sim,sim,,,,,Mourisca do Vouga,2018,,
262,1004,4477,ERSUC,sim,sim,sim,,,,,Salgueiro,2018,,
263,1242,3248,ERSUC,sim,sim,sim,,,,,Redonda,2018,,
264,1243,2409,ERSUC,sim,sim,sim,,,,,Santa Rita,2018,,
